"rho","S","tmax","mean.mean","mean.sd","var.shape","var.rate","minS","maxS","ext","endT"
0.0351064749729356,70,100,0.0911111111111111,3.09489283523595,5.19177861325769,285.292717660999,27.76,126.292,0.29,99.771012622043
0.0854543215265208,70,100,-0.200666666666667,6.41963872424767,2.64002158541879,664.162850257919,17.456,147.614,0.536,99.8888328359757
0.20800838230519,70,100,-0.00666825396825394,17.8608009657941,1.65674832206249,3640.71272886773,13.034,184.388,0.648,98.8751758015288
0.506322984447242,70,100,-12.8998695804307,56.3920161815201,1.55775098981252,36604.1189907983,7.33,198.076,0.81,90.3086943627882
1.23246458502536,70,100,-44.984121950401,244.476950773824,1.04991683307137,225591.39050394,5.472,237.37,0.876,72.0342108656227
3,70,100,-173.46137221072,855.130774754508,0.776916886855592,1726331.71774005,4.382,284.41,0.906,49.0900133838189
0.001,100,100,0.0249722222222222,0.455636851521944,6.60174336250002,11.1455685532005,89.156,110.49,0,95.2791135637824
0.00243414702251933,100,100,-0.0419722222222222,0.761100393635727,6.64742151908997,27.8613155668973,83.218,116.884,0,97.9695615125442
0.00592507172723974,100,100,0.0782222222222222,1.20114198858673,7.00198500377604,72.7984683563559,73.98,126.964,0.002,99.1180088225352
0.0144224957030741,100,100,-0.00133333333333334,2.11077666138632,7.77104981167987,214.680798633503,59.636,142.422,0.056,99.6254153068073
0.0351064749729356,100,100,0.249777777777778,3.83699913464761,4.85620430966263,395.37348771486,44.758,169.482,0.228,99.8406872578537
0.0854543215265208,100,100,0.198444444444444,7.93613655007887,2.55371074498333,952.206920437632,30.796,202.694,0.426,99.9277597414868
0.20800838230519,100,100,0.726888888888889,21.4577848412915,1.47389746989241,4635.63140105517,23.016,247.646,0.584,99.938075811651
0.506322984447242,100,100,-6.08433809523809,69.0033183977981,1.36048564396823,48573.100008045,13.014,271.34,0.76,95.6376333788195
1.23246458502536,100,100,-54.8224457402008,264.312216213242,1.16371960738495,414455.636877516,9.438,336.976,0.836,79.9480815435305
3,100,100,-276.660216486934,1133.04496652806,0.617004697423598,1475567.83992013,6.06,347.326,0.894,52.825700073164
0.001,10,250,0.0189476679709045,0.111709444808136,4.71241855111265,0.930795503848178,5.41,14.942,0.148,200.69896516761
0.00243414702251933,10,250,0.0215471718228078,0.155608605196358,6.14984038007904,2.72192071585525,4.246,18.47,0.338,227.366786856114
0.00592507172723974,10,250,0.0126603457299345,0.243911866534639,6.10843600784441,6.41063103544837,3.006,21.644,0.574,238.435016691827
0.0144224957030741,10,250,-0.00728956963827068,0.425015249909338,3.6557914262442,9.31701479027944,2.378,26.526,0.684,238.908967787849
0.0351064749729356,10,250,-0.209255383270803,0.924378888210079,1.98545539159718,14.2271458150062,1.776,29.414,0.816,209.195877413415
0.0854543215265208,10,250,-0.880650656881947,2.22451862673246,1.08587210232345,32.0344158438066,1.522,33.256,0.882,160.361870019728
0.20800838230519,10,250,-3.50741709967253,6.31682007925117,0.711792300598915,107.115157323745,1.316,37.572,0.936,98.9273420500798
0.506322984447242,10,250,-10.8523282204252,16.0647115011029,0.55026872780747,627.226031714086,1.21,41.234,0.954,55.8444999858066
1.23246458502536,10,250,-30.7982981419459,59.6573504415972,0.395131480366864,6827.06301015065,1.112,46.708,0.966,29.186853953354
