genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Acesta,164.700,61.700,26,21,0.0141
Achatella,466.000,443.700,17,2,0.1231
Acheilops,498.500,488.300,5,0,NaN
Acheilus,501.000,488.300,4,0,NaN
Achistrum,409.100,161.200,31,0,NaN
Achlysopsis,516.000,505.000,3,0,NaN
Achradocrinus,443.700,428.200,1,0,NaN
Achradocystites,457.500,452.000,2,0,NaN
Achrochordiella,40.400,37.200,1,1,0.2000
Aciculolenus,501.000,488.300,1,0,NaN
Acidaspis,452.000,422.900,45,30,0.0372
Acidiphorus,478.600,455.800,71,8,0.0177
Acidiscus,516.000,513.000,1,0,NaN
Acidolites,456.100,439.000,11,0,NaN
Acila,125.450,85.800,2,0,NaN
Acilia,215.560,212.000,1,1,0.0049
Acimetopus,516.000,513.000,1,0,NaN
Acinophyllum,409.100,388.100,24,0,NaN
Acirsa,65.500,61.700,1,1,0.0030
Acleistoceras,391.900,388.100,1,0,NaN
Aclis,65.500,61.700,1,1,0.0001
Aclisina,360.700,247.200,14,7,0.0168
Acmaea,85.800,0.012,16,7,0.0012
Acmarhachis,501.000,488.300,3,1,1.0000
Acmaturris,3.600,2.588,3,0,NaN
Acoelia,268.000,265.000,2,0,NaN
Acoelocalyx,89.300,85.800,1,0,NaN
Acolocrinus,460.900,449.500,4,3,0.0288
Acolosia,290.100,272.500,3,0,NaN
Acompsoceras,99.600,93.500,2,0,NaN
Aconeceras,105.300,99.600,1,1,0.0025
Acosarina,303.400,251.300,218,30,0.1076
Acratia,383.700,183.000,172,1,0.0028
Acratina,298.900,252.300,2,0,NaN
Acratinella,383.700,259.000,3,0,NaN
Acrioceras,136.400,125.450,14,0,NaN
Acritosia,298.900,265.000,53,4,0.0092
Acrocephalites,513.000,501.000,1,0,NaN
Acrochordiceras,247.200,242.000,101,63,0.1887
Acrochordonia,83.500,70.600,4,2,0.0082
Acrocidaris,161.200,145.500,7,0,NaN
Acrocrinus,336.000,318.100,21,18,0.0066
Acrocyathus,345.000,336.000,3,0,NaN
Acrocythere,189.600,183.000,2,1,0.0043
Acrograptus,466.000,460.900,1,0,NaN
Acropeltis,161.200,145.500,2,0,NaN
Acrophyllum,402.500,391.900,2,0,NaN
Acropora,58.700,0.00187,796,103,0.0907
Acropsammia,23.030,15.970,1,0,NaN
Acropyge,254.000,252.300,1,0,NaN
Acrosaccus,460.900,456.100,2,0,NaN
Acrosalenia,183.000,155.700,51,3,0.0151
Acrosmilia,175.600,33.900,45,7,0.0238
Acrospira,279.500,272.500,2,2,0.0053
Acrospirifer,412.300,388.100,9,2,0.0393
Acrosterigma,15.970,0.012,13,3,0.0069
Acrothele,516.000,498.500,18,3,0.0905
Acrothyra,520.000,501.000,6,2,0.1229
Acrotreta,513.000,455.800,17,0,NaN
Acroura,155.700,150.800,1,1,0.0294
Actaea,7.246,5.332,3,0,NaN
Actea,150.800,145.500,4,3,0.0303
Acteocina,28.400,0.000,16,7,0.0481
Acteon,130.000,2.588,12,4,0.0010
Acteonella,109.000,65.500,24,0,NaN
Acteonina,336.000,112.030,16,8,0.0090
Actinacis,130.000,15.970,143,19,0.0360
Actinaraea,189.600,85.800,97,22,0.0579
Actinastrea,242.000,3.600,257,64,0.0717
Actinhelia,70.600,65.500,10,0,NaN
Actinocamax,99.600,70.600,10,4,0.0707
Actinoceramus,109.000,105.300,3,0,NaN
Actinoceras,471.800,336.000,57,4,0.0926
Actinochilina,457.500,452.000,3,0,NaN
Actinocoelia,279.500,252.300,6,0,NaN
Actinoconchus,360.700,318.100,16,2,0.0411
Actinoconus,542.000,516.000,1,0,NaN
Actinocrinites,360.700,342.800,24,4,0.0065
Actinocyathus,336.000,318.100,5,2,0.1112
Actinocythereis,28.400,23.030,1,0,NaN
Actinodictyon,439.000,383.700,13,1,0.0372
Actinodiscus,455.800,449.500,3,0,NaN
Actinodochmioceras,436.000,428.200,1,0,NaN
Actinofungia,235.000,232.000,1,0,NaN
Actinolobus,463.500,460.900,3,0,NaN
Actinopeltis,478.600,443.700,5,2,0.0094
Actinophrentis,298.900,272.500,6,6,0.0104
Actinopterella,422.900,421.300,1,0,NaN
Actinopteria,428.200,298.900,27,1,0.0149
Actinospongiella,205.600,201.600,1,0,NaN
Actinostreon,232.000,125.450,313,203,0.0338
Actinostroma,436.000,155.700,283,24,0.0446
Actinostromaria,161.200,89.300,41,2,0.0252
Actinostromarianina,150.800,83.500,6,3,0.0572
Actinostromella,426.200,409.100,4,1,0.6364
Actinostromina,155.700,145.500,5,1,0.1176
