genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Chonetoidea,466.000,345.300,13,0,NaN
Chonopectus,360.700,353.800,1,0,NaN
Chonophyllum,436.000,388.100,10,0,NaN
Chonosteges,290.100,252.300,69,3,0.0136
Chonostegites,388.100,383.700,1,0,NaN
Chonostegoides,290.100,259.000,32,1,0.0238
Chonostrophia,391.900,388.100,4,0,NaN
Chorisastraea,235.000,215.560,3,0,NaN
Choristes,303.400,298.900,1,0,NaN
Choristitella,314.600,254.000,15,2,0.0120
Choristites,313.800,268.000,19,13,0.0699
Choristoceras,232.000,201.600,6,1,0.0128
Choristothyris,70.600,65.500,1,0,NaN
Chorizopora,7.246,2.588,2,0,NaN
Chostophyllum,391.900,383.700,21,0,NaN
Chouberticyathus,520.000,513.000,14,0,NaN
Chresmoda,150.800,93.500,7,7,0.0830
Chrispaulia,99.600,93.500,4,4,1.0000
Christiania,463.500,443.700,54,24,0.1030
Christioceras,318.100,306.950,1,0,NaN
Chrysallida,0.012,0.000,1,1,0.0435
Chrysocardium,37.200,33.900,1,0,NaN
Chrysocythere,23.030,13.650,2,0,NaN
Chrysodomus,65.500,61.700,2,0,NaN
Chrysomelophana,150.800,145.500,1,0,NaN
Chuanbeiphyllum,379.500,376.100,9,0,NaN
Chuangia,501.000,488.300,2,1,0.0377
Chuanshanophyllum,298.900,295.000,6,0,NaN
Chuchleconus,412.300,409.100,1,0,NaN
Chuiella,360.700,345.300,1,0,NaN
Chuiliella,488.300,478.600,1,1,1.0000
Chulitnacula,212.000,205.600,1,0,NaN
Chuluaria,161.200,155.700,2,2,0.0503
Chumazites,318.100,314.600,3,3,0.0140
Churkites,251.300,247.200,2,0,NaN
Chuvashovia,290.100,254.000,3,0,NaN
Chynistrophia,412.300,388.100,4,0,NaN
Cibecuia,279.500,259.000,18,1,0.0041
Cibolites,268.000,259.000,4,0,NaN
Cibolocrinus,305.900,272.500,12,11,0.0521
Ciceragnostus,488.300,478.600,1,0,NaN
Cidaris,247.200,0.126,139,44,0.0061
Cieneguiticeras,150.800,145.500,1,0,NaN
Cimicidium,145.500,140.200,1,1,0.0137
Cimitaria,422.900,336.000,3,2,0.0028
Cimmeriella,295.000,272.500,10,1,0.0400
Cimolithium,105.300,89.300,6,6,0.0225
Cimomia,70.600,48.600,9,3,0.2554
Cincinnaticrinus,471.800,443.700,189,182,0.0323
Cincinnatidiscus,452.000,443.700,4,0,NaN
Cinclidella,93.500,83.500,3,2,0.0273
Cinclidonema,298.900,252.300,2,0,NaN
Cincta,189.600,175.600,4,0,NaN
Cinctifera,339.400,336.000,1,0,NaN
Cinctura,2.588,0.126,3,0,NaN
Cingentolium,183.000,150.800,15,15,0.0168
Cingula,11.608,0.012,3,0,NaN
Cingulodermis,412.300,388.100,19,1,0.1321
Cinnabaria,232.000,201.600,22,4,0.2111
Cinnella,516.000,513.000,2,0,NaN
Cinulia,112.030,109.000,1,0,NaN
Cionodendron,360.700,345.300,1,0,NaN
Circe,15.970,0.12,30,4,0.0163
Circomphalus,13.650,0.781,5,0,NaN
Circophyllia,48.600,23.030,15,1,0.0053
Circophyllum,422.900,412.300,3,0,NaN
Circopora,235.000,201.600,5,0,NaN
Circotheca,542.000,516.000,18,2,0.0379
Circulus,65.500,2.588,5,3,0.0002
Circumstella,0.012,0.000,2,2,0.0431
Cirpa,201.600,183.000,41,31,0.0518
Cirrus,196.500,167.700,4,2,0.3333
Cirsocerithium,125.450,99.600,2,1,0.0833
Cirsotrema,65.500,0.012,9,1,0.0001
Cisnerospira,189.600,183.000,14,14,0.0094
Citrella,251.300,242.000,6,0,NaN
Cittarium,0.126,0.012,2,1,0.0019
Cladangia,40.400,7.246,16,0,NaN
Cladiscites,221.500,205.600,2,0,NaN
Cladoceramus,85.800,83.500,3,0,NaN
Cladochonus,443.700,279.500,47,2,0.0713
Cladocora,164.700,0.005993,91,8,0.0394
Cladocoropsis,215.560,140.200,39,2,0.3162
Cladophyllia,189.600,65.500,115,28,0.0618
Cladophylliopsis,167.700,164.700,1,0,NaN
Cladopora,428.200,259.000,123,0,NaN
Cladospongia,428.200,418.700,1,0,NaN
Clanculus,33.900,0.12,36,0,NaN
Claraia,265.000,247.200,150,17,0.0401
Claraioides,254.000,252.300,1,0,NaN
Clariondites,388.100,383.700,1,1,0.0068
Clarkeipterus,418.700,416.000,1,0,NaN
Clarkella,501.000,466.000,6,0,NaN
Clarkesvillia,449.500,443.700,1,0,NaN
Clarkoceras,488.300,478.600,12,1,0.0208
Claruscoscinus,520.000,513.000,16,0,NaN
Claruscyathus,516.000,513.000,19,0,NaN
Clathricoscinus,520.000,513.000,57,0,NaN
Clathricyathellus,516.000,513.000,3,0,NaN
Clathricyathus,516.000,513.000,5,0,NaN
Clathrithalamus,516.000,513.000,1,0,NaN
Clathrobaculus,167.700,164.700,1,0,NaN
Clathroceras,422.900,418.700,1,0,NaN
Clathrocoilona,416.000,360.700,111,12,0.0648
Clathrodictyella,421.300,416.000,11,0,NaN
Clathrodictyon,456.100,376.100,253,7,0.0287
Clathrodrillia,3.600,0.012,2,0,NaN
Clathronema,391.900,383.700,8,0,NaN
Clathropora,445.600,426.200,8,0,NaN
Clathrospira,471.800,443.700,79,14,0.0266
Clathrotellina,5.332,0.012,1,1,0.0043
Clausa,125.450,122.460,3,3,0.2260
Clausastrea,175.600,70.600,81,27,0.0258
Clausinella,23.030,0.000,3,0,NaN
Clausotrypa,339.400,254.000,17,3,0.0448
Clava,65.500,0.119,28,9,0.0013
Clavagella,65.500,2.588,9,4,0.0020
Clavagnostus,505.000,501.000,5,2,0.0693
Clavaspidella,513.000,501.000,1,0,NaN
Clavatula,13.650,2.588,30,23,0.1601
Clavellofusus,28.400,23.030,1,1,0.0800
Claviaster,99.600,93.500,3,3,0.0172
Clavicosta,295.000,290.100,2,1,0.3333
Clavidictyon,428.200,382.400,4,0,NaN
Clavigellus,530.000,501.000,1,0,NaN
Clavigera,205.600,201.600,4,0,NaN
Clavilithes,65.500,33.900,18,5,0.0026
Clavipholas,70.600,65.500,2,0,NaN
Claviphyllum,339.400,279.500,2,0,NaN
Clavitubigera,125.450,122.460,2,2,0.1225
Clavus,33.900,0.012,22,4,0.0136
Claytonia,40.400,37.200,2,2,0.0243
Cleidochasma,0.00944,0.007145,2,0,NaN
Cleidophorus,268.000,265.000,3,0,NaN
Cleiocrinus,455.800,449.500,16,4,0.0025
Cleionychia,466.000,422.900,28,0,NaN
Cleiothyridina,383.700,252.300,585,218,0.0736
Clelandia,498.500,478.600,24,0,NaN
Clelandoceras,478.600,468.100,1,1,0.3333
Clementia,55.800,0.12,22,2,0.0647
Cleoniceras,112.030,99.600,1,0,NaN
Cletocythereis,7.246,5.332,1,0,NaN
Clidochirus,418.700,416.000,1,0,NaN
Cliefdenella,460.900,449.500,4,0,NaN
Cliefdenospongia,456.100,449.500,1,0,NaN
Cliffia,501.000,488.300,16,1,0.0140
Cliftonia,449.500,418.700,13,0,NaN
Climacina,196.500,189.600,1,0,NaN
Climacoconus,460.900,449.500,1,0,NaN
Climacograptus,463.500,416.000,67,0,NaN
Climacospongia,422.900,418.700,3,0,NaN
Clinambon,460.900,455.800,1,0,NaN
Clinoceras,463.500,460.900,2,0,NaN
Clinolobus,279.500,265.000,2,0,NaN
Clinopistha,336.000,268.000,6,0,NaN
Clintonella,439.000,428.200,14,0,NaN
Clio,0.126,0.012,2,0,NaN
Cliona,161.200,2.588,15,1,0.0290
Clionella,23.030,15.970,1,0,NaN
Clionites,232.000,221.500,7,0,NaN
Clionitites,235.000,205.600,12,2,0.2405
Clisiophyllum,428.200,265.000,45,1,0.0769
Clisospira,471.800,422.900,11,0,NaN
Clistoceras,318.100,311.450,2,0,NaN
Clitambonites,478.600,460.900,5,0,NaN
Clitendoceras,488.300,471.800,9,3,0.1095
Clithon,65.500,61.700,1,1,0.0015
Clithrocytheridea,70.600,65.500,5,0,NaN
Cloacaspis,471.800,468.100,1,0,NaN
Clonocrinus,428.200,418.700,5,0,NaN
Clonograptus,488.300,468.100,10,0,NaN
Clonopora,314.600,306.950,1,0,NaN
Clonosmilia,28.400,23.030,1,0,NaN
Clorinda,443.700,388.100,72,4,0.0114
Clorindina,416.000,409.100,22,0,NaN
Closia,23.030,2.588,2,0,NaN
Cluthoceras,326.400,318.100,10,10,0.4901
Clydonautilus,232.000,221.500,1,0,NaN
Clydoniceras,167.700,161.200,12,0,NaN
Clypeaster,40.400,0.125,59,6,0.2066
Clypeoceras,251.300,247.200,4,0,NaN
Clypeolampas,85.800,65.500,3,0,NaN
Clypeomorus,11.608,0.000,17,2,0.0667
Clypeopygus,136.400,130.000,13,13,0.0314
Clypeus,171.600,155.700,11,1,0.0067
Clypidina,65.500,61.700,1,0,NaN
Clypites,252.300,247.200,4,2,0.1000
Clytiopsis,247.200,235.000,3,2,0.7071
Cnemidactis,471.800,445.600,2,1,0.5000
Cnemidiastrum,167.700,145.500,81,65,0.1530
Cnemidopyge,463.500,449.500,4,0,NaN
Cnemopeltia,161.200,150.800,58,48,0.1115
Cnestocythere,33.900,11.608,2,0,NaN
Coalcomana,122.460,93.500,12,0,NaN
Coanollonia,3.600,2.588,2,0,NaN
Cobboldites,520.000,501.000,2,1,1.0000
Coccophyllum,247.200,183.000,12,2,0.0101
Coccoseris,456.100,452.000,22,0,NaN
Cocculina,3.600,2.588,2,0,NaN
Cochlearites,189.600,183.000,4,0,NaN
Cochlespira,65.500,0.012,3,1,0.0164
Cochlioceras,478.600,460.900,15,3,0.5000
Cochliolepis,11.608,2.588,2,0,NaN
Cockbainia,383.700,376.100,1,0,NaN
Codakia,33.900,0.007145,70,8,0.0025
Codaster,391.900,388.100,1,0,NaN
Codechinus,122.460,112.030,1,0,NaN
Codiacystis,466.000,460.900,1,0,NaN
Codinella,247.200,232.000,11,9,0.0048
Codiopsis,136.400,65.500,12,8,0.0218
Codonocheilus,416.000,412.300,1,1,0.0004
Codonosmilia,164.700,161.200,1,0,NaN
Coelastarte,175.600,145.500,6,4,0.0124
Coelocaulus,436.000,326.400,36,22,0.0116
Coelocentrus,235.000,232.000,2,0,NaN
Coelochilina,466.000,443.700,2,0,NaN
Coelocladia,314.600,252.300,4,2,0.9014
Coelocladiella,298.900,254.000,5,0,NaN
Coeloclema,466.000,422.900,14,0,NaN
Coelocoenia,235.000,232.000,1,0,NaN
Coeloconulus,265.000,259.000,1,1,0.0598
Coelocorypha,89.300,70.600,7,1,0.0058
Coelocrinus,336.000,326.400,1,1,0.0122
Coelocyclus,422.900,391.900,11,7,0.0502
Coelocystis,428.200,418.700,1,0,NaN
Coeloderoceras,189.600,183.000,1,0,NaN
Coeloenellina,412.300,391.900,6,0,NaN
Coelogasteroceras,339.400,252.300,12,0,NaN
Coelonautilus,339.400,336.000,1,0,NaN
Coelonella,471.800,252.300,14,0,NaN
Coelopis,247.200,145.500,45,28,0.0106
Coelopleurus,70.600,37.200,6,0,NaN
Coeloptychium,85.800,70.600,32,6,0.0151
Coeloscyphia,85.800,70.600,6,4,0.0070
Coeloseris,0.781,0.0792,9,0,NaN
Coelosmilia,109.000,61.700,6,2,0.0140
Coelosphaeroma,83.500,70.600,1,0,NaN
Coelospira,439.000,388.100,70,4,0.0570
Coelostylina,259.000,155.700,108,57,0.0098
Coeloterorhynchus,383.700,370.600,6,4,0.1061
Coelozone,421.300,418.700,1,0,NaN
Coemansia,65.500,61.700,1,1,0.0006
Coenastraea,189.600,155.700,11,4,0.0549
Coenholectypus,136.400,83.500,64,59,0.0306
Coenites,436.000,376.100,103,0,NaN
Coenocyathus,20.430,15.970,4,0,NaN
Coenocystis,272.500,259.000,1,0,NaN
Coenostella,155.700,145.500,6,1,0.1000
Coenostroma,376.100,370.600,1,0,NaN
Coenotheca,171.600,168.400,2,0,NaN
Coenothyris,247.200,205.600,31,15,0.0408
Coilopoceras,93.500,89.300,20,0,NaN
Colaptomena,466.000,460.900,11,0,NaN
Coledium,360.700,254.000,38,9,0.0505
Coleia,196.500,150.800,2,0,NaN
Coleopora,0.00944,0.007145,2,0,NaN
Coleopteron,150.800,140.200,3,2,0.0085
Colina,11.608,0.000,2,0,NaN
Colinispongia,478.600,471.800,2,0,NaN
Collarina,7.246,5.332,1,0,NaN
Collatipora,298.900,268.000,6,0,NaN
Collbatothuria,242.000,235.000,1,0,NaN
Collemataria,290.100,254.000,68,2,0.0396
Collignonastraea,171.600,70.600,16,3,0.1383
Collignoniceras,93.500,89.300,2,0,NaN
Collina,182.000,175.600,5,0,NaN
Collisella,0.126,0.012,4,0,NaN
Collonia,235.000,61.700,9,3,0.0033
Collonista,23.030,0.000,23,0,NaN
Collyrites,161.200,155.700,2,0,NaN
Collyropsis,161.200,145.500,2,0,NaN
Colobinion,471.800,457.500,1,0,NaN
Colombellina,140.200,65.500,11,11,0.0049
Colombiceras,125.450,112.030,2,0,NaN
Colongina,412.300,409.100,1,0,NaN
Coloniacirrus,388.100,370.600,5,0,NaN
Colophragma,376.100,360.700,1,1,0.8750
Colosia,164.700,150.800,3,0,NaN
Colospongia,306.950,201.600,197,29,0.1144
Colossolacis,83.500,70.600,3,1,0.0039
Colostracon,235.000,145.500,9,5,0.0518
Colpites,318.100,268.000,10,5,0.0070
Colpocoryphe,466.000,460.900,2,0,NaN
Colpocoryphoides,488.300,478.600,1,0,NaN
Colpodecrinus,460.900,449.500,1,1,0.0005
Colpomphalus,183.000,182.000,1,1,0.3846
Colpomya,478.600,422.900,12,0,NaN
Colpophyllia,83.500,0.001792,179,56,0.0539
Colpotoria,167.700,155.700,7,2,0.0083
Colubraria,23.030,0.012,7,0,NaN
Colubrellopsis,242.000,232.000,3,1,0.0008
Columactinastraea,161.200,65.500,33,11,0.0495
Columastrea,130.000,23.030,16,1,0.0398
Columbarium,65.500,61.700,3,1,0.0006
Columbella,23.030,0.12,32,5,0.0210
Columbellopsis,65.500,2.588,4,1,0.0022
Columbites,251.300,247.200,6,0,NaN
Columbocystis,460.900,449.500,1,0,NaN
Columellogyra,130.000,112.030,4,1,0.0667
Columellophora,93.500,89.300,1,0,NaN
Columnaphyllia,150.800,136.400,4,1,0.0015
Columnaria,457.500,382.400,35,1,0.9626
Columnocoelia,164.700,161.200,1,0,NaN
Columnocoenia,175.600,70.600,84,27,0.0679
Columnopora,449.500,445.600,6,0,NaN
Columnostroma,428.200,409.100,6,0,NaN
Columnotheca,65.500,7.246,3,1,0.0267
Coluzea,33.900,23.030,3,0,NaN
Comanchia,501.000,488.300,4,0,NaN
Comatopoma,445.600,443.700,2,0,NaN
Combophyllum,409.100,391.900,1,0,NaN
Comelicania,254.000,252.300,27,0,NaN
Comelicothyris,254.000,252.300,13,0,NaN
Cominella,65.500,0.012,3,2,0.0081
Comitas,5.332,1.806,16,15,0.0759
Comluella,516.000,513.000,2,1,0.2941
Communicrinus,460.900,449.500,1,0,NaN
Comophyllia,189.600,109.000,29,5,0.0125
Comoseris,189.600,109.000,144,29,0.0310
Complexastraeopsis,161.200,130.000,11,5,0.0169
Complexastrea,221.500,85.800,66,18,0.1700
Complexophyllum,452.000,443.700,1,0,NaN
Composita,379.500,252.300,726,223,0.0840
Compositelasma,272.500,268.000,1,1,0.0169
Compositocyathus,520.000,513.000,16,0,NaN
Compressoproductus,298.900,252.300,98,18,0.0108
Compsocephalus,520.000,516.000,2,0,NaN
Compsocrinus,449.500,443.700,1,0,NaN
Compsodrillia,3.600,2.588,4,1,0.0769
Compsonema,326.400,318.100,1,0,NaN
Comptonaspis,360.700,353.800,3,0,NaN
Comptonia,99.600,93.500,5,0,NaN
Comptoniaster,171.600,70.600,5,2,0.1151
Comuquia,298.900,268.000,9,6,0.0280
Comus,0.12,0.12,2,0,NaN
Conannulofungia,516.000,513.000,2,0,NaN
Conarothyris,171.600,167.700,3,0,NaN
Conbathella,443.700,422.900,1,0,NaN
Concavocycloides,409.100,379.500,6,0,NaN
Conchemipora,125.450,122.460,1,0,NaN
Conchicolites,428.200,418.700,7,0,NaN
Conchidium,428.200,418.700,53,0,NaN
Conchodon,205.600,201.600,6,0,NaN
Conchoprimites,449.500,443.700,1,0,NaN
Conchoprimitia,468.100,449.500,8,0,NaN
Concinnithyris,99.600,89.300,9,6,0.0547
Condracypris,416.000,416.000,7,0,NaN
Condranema,466.000,290.100,3,1,0.0294
Condrathyris,313.800,295.000,24,0,NaN
Condylopyge,513.000,501.000,2,0,NaN
Confusaforma,99.600,89.300,3,0,NaN
Confusastraraea,20.430,15.970,6,3,0.0743
Confusastrea,171.600,164.700,5,0,NaN
Confusiscala,70.600,65.500,4,4,0.0019
Congeria,28.400,23.030,1,0,NaN
Congeriomorpha,383.700,376.100,1,0,NaN
Congregopora,65.500,61.700,1,0,NaN
Conicosmilotrochus,105.300,70.600,6,1,0.1333
Coniculospongia,416.000,412.300,2,1,0.5000
Conilophyllum,370.600,364.700,1,0,NaN
Coniscala,65.500,61.700,1,0,NaN
Connagnostus,501.000,488.300,1,1,1.0000
Connectastrea,164.700,99.600,4,0,NaN
Conocardium,460.900,254.000,48,8,0.0317
Conocephalella,150.800,145.500,3,3,0.0094
Conocerina,488.300,478.600,5,1,0.0208
Conoclisa,416.000,412.300,1,0,NaN
Conoclypus,37.200,33.900,1,1,0.0130
Conococheaguea,498.500,488.300,2,0,NaN
Conocoelia,136.400,130.000,1,0,NaN
Conocoryphe,513.000,501.000,1,0,NaN
Conocrania,145.500,140.200,1,0,NaN
Conocyathus,20.430,7.246,2,0,NaN
Conodia,488.300,478.600,2,0,NaN
Conoideocrinus,145.500,140.200,1,1,0.0078
Conomitra,65.500,5.332,10,0,NaN
Conopeum,65.500,2.588,4,2,0.2272
Conophillipsia,360.700,353.800,1,0,NaN
Conophyllia,247.200,215.560,7,2,0.0588
Conopora,65.500,61.700,1,0,NaN
Conopoterium,364.700,360.700,2,0,NaN
Conorbis,33.900,23.030,2,0,NaN
Conorhytis,167.700,164.700,1,0,NaN
Conosmilia,19.000,15.900,1,1,0.0492
Conotheca,542.000,513.000,93,8,0.1668
Conotoma,428.200,421.300,2,0,NaN
Conotomaria,161.200,65.500,7,6,0.0087
Conotreta,488.300,449.500,9,2,0.0983
Conotrochus,70.600,0.082,4,0,NaN
Conradostrea,5.332,0.126,4,0,NaN
Consinocodium,155.700,145.500,2,0,NaN
Constellaria,466.000,418.700,106,44,0.1397
Constellatospongia,449.500,443.700,1,0,NaN
Contitheca,516.000,504.000,4,1,0.0242
Contocrinus,272.500,268.000,1,0,NaN
Contortophyllum,422.900,418.700,3,0,NaN
Contraspina,268.000,252.300,15,6,0.0448
Conularia,466.000,336.000,58,3,0.0176
Conularina,468.100,460.900,1,0,NaN
Conulus,99.600,65.500,8,4,0.1183
Conus,112.030,0.007711,505,39,0.0142
Convexastrea,161.200,145.500,13,3,0.0214
Convoluticeras,409.100,391.900,1,0,NaN
Conwaymorrisispongia,520.000,516.000,2,0,NaN
Cookiloxa,388.100,383.700,2,0,NaN
Coolinia,449.500,421.300,56,1,0.0019
Coolkilella,290.100,279.500,2,2,0.4082
Coopericus,303.400,272.500,24,3,0.0298
Cooperina,298.900,254.000,41,8,0.0247
Cooperoceras,303.400,272.500,3,0,NaN
Coosella,513.000,488.300,31,0,NaN
Coosia,513.000,498.500,11,2,0.1663
Coosina,501.000,488.300,5,2,0.0889
Cophinoceras,105.300,99.600,1,0,NaN
Copidens,468.100,460.900,4,0,NaN
Copidocatomus,391.900,388.100,1,0,NaN
Copidopus,150.800,145.500,1,1,0.0109
Copidozoum,3.600,2.588,1,0,NaN
Copleicyathus,520.000,516.000,5,0,NaN
Coptocampylodon,205.600,201.600,1,0,NaN
Coptodiscus,99.600,93.500,1,0,NaN
Coquimba,23.030,13.650,2,0,NaN
Coralliobia,0.119,0.119,2,0,NaN
Coralliochama,70.600,65.500,4,0,NaN
Coralliophaga,28.400,0.012,25,15,0.0596
Coralliophila,28.400,0.119,28,0,NaN
Corallioscolex,516.000,513.000,1,0,NaN
Corallium,37.200,33.900,1,0,NaN
Coralloconchus,422.900,418.700,1,0,NaN
Coraster,83.500,61.700,2,0,NaN
Corazzatocarcinus,99.600,93.500,1,1,0.4783
Corbariastraea,89.300,70.600,4,1,0.0385
Corbicella,161.200,155.700,2,2,0.0064
Corbicellopsis,196.500,155.700,6,5,0.0067
Corbicula,65.500,61.700,1,1,0.0135
Corbinia,498.500,488.300,8,0,NaN
Corbis,155.700,150.800,1,0,NaN
Corbula,247.200,0.012,120,29,0.0245
Corbulamella,70.600,61.700,2,0,NaN
Corbulomima,183.000,145.500,36,22,0.0565
Cordania,416.000,416.000,1,0,NaN
Cordaspira,412.300,409.100,1,0,NaN
Cordatomyonia,416.000,391.900,1,0,NaN
Cordiceramus,89.300,70.600,15,1,0.0537
Cordilleracyathus,520.000,513.000,21,0,NaN
Cordillerastraea,298.900,272.500,12,0,NaN
Cordillerites,251.300,247.200,3,0,NaN
Cordobicyathus,520.000,516.000,1,0,NaN
Cordylocrinus,422.900,412.300,3,0,NaN
Coreanoceras,488.300,449.500,14,0,NaN
Coremagraptus,416.000,412.300,5,0,NaN
Coreospira,516.000,505.000,3,0,NaN
Corethrium,145.500,140.200,1,1,0.0137
Corineorthis,460.900,449.500,1,0,NaN
Cornellites,443.700,336.000,8,0,NaN
Cornetia,65.500,61.700,1,1,0.0029
Cornigella,298.900,268.000,9,5,0.0060
Cornuaspongia,221.500,205.600,4,0,NaN
Cornucardia,232.000,221.500,7,1,0.0833
Cornulina,55.800,48.600,2,2,0.0044
Cornulites,457.500,326.400,137,88,0.0362
Cornuproetus,428.200,391.900,10,0,NaN
Cornutobairdia,205.600,201.600,1,0,NaN
Cornutocyathus,520.000,513.000,7,0,NaN
Cornwallatia,298.900,279.500,5,0,NaN
Coronakirkbya,298.900,295.000,1,1,0.0164
Coronalosia,290.100,279.500,2,1,0.2857
Coronaria,235.000,232.000,2,0,NaN
Corongoceras,150.800,145.500,4,0,NaN
Coronia,61.700,48.600,7,7,0.0100
Coroniceras,196.500,189.600,16,0,NaN
Coronites,130.000,125.450,3,0,NaN
Coronocystis,471.800,449.500,3,0,NaN
Corrugatagnostus,457.500,452.000,12,0,NaN
Corrugopecten,254.000,252.300,1,0,NaN
Corrugopora,436.000,422.900,5,0,NaN
Corsania,65.500,61.700,1,0,NaN
Cortezorthis,416.000,402.500,14,6,0.0124
Corthya,140.200,136.400,1,1,1.0000
Cortinaticopsis,247.200,232.000,2,1,0.3333
Corvinopugnax,416.000,402.500,7,1,0.0044
Corwenia,345.000,265.000,6,0,NaN
Corydalis,150.800,145.500,1,1,0.0067
Coryellina,360.700,298.900,4,1,0.0465
Coryellites,303.400,254.000,20,0,NaN
Corylispirifer,409.100,402.500,1,0,NaN
Corymbospongia,460.900,443.700,15,0,NaN
Corynella,161.200,109.000,25,2,0.0194
Corynexochus,516.000,498.500,12,2,0.3321
Corynoides,488.300,455.800,2,0,NaN
Corynospongia,272.500,259.000,1,0,NaN
Corynotrypa,452.000,254.000,28,0,NaN
Corynotrypoides,235.000,221.500,2,0,NaN
Coryphyllia,242.000,183.000,19,5,0.1606
Coryphyllina,205.600,201.600,1,0,NaN
Corystos,507.000,505.000,2,0,NaN
Coscinaraea,55.800,0.005,16,2,0.0917
Coscinaulus,161.200,150.800,2,1,0.0091
Coscinium,314.600,279.500,8,1,0.1720
Coscinocyathella,520.000,516.000,7,0,NaN
Coscinocyathellus,516.000,513.000,1,0,NaN
Coscinocyathus,530.000,513.000,157,0,NaN
Coscinodiscus,161.200,150.800,5,0,NaN
Coscinophora,290.100,268.000,14,0,NaN
Coscinopleura,65.500,61.700,1,1,0.0267
Coscinopora,93.500,70.600,13,4,0.0855
Coscinoptycta,516.000,513.000,1,0,NaN
Coscinostoma,83.500,70.600,4,1,0.0039
Coscinotrypa,268.000,259.000,3,1,0.0606
Cosmatites,196.500,189.600,1,0,NaN
Cosmetocrinus,360.700,326.400,4,2,0.0093
Cosmiolithus,436.000,426.200,1,0,NaN
Cosmocerithium,167.700,161.200,2,0,NaN
Cosmogoniophorina,478.600,466.000,1,0,NaN
Cosmolithes,65.500,61.700,2,1,0.0075
Cosmonautilus,232.000,221.500,6,0,NaN
Cossmannea,167.700,93.500,26,1,0.4333
Costa,70.600,65.500,1,0,NaN
Costacallista,65.500,2.588,8,1,0.0090
Costachonetes,298.900,295.000,1,1,0.0010
Costachonetina,272.500,268.000,5,5,0.0051
Costacopluma,65.500,61.700,1,0,NaN
Costaglycymeris,5.332,2.588,1,0,NaN
Costagyra,99.600,93.500,5,3,0.1366
Costalocrinus,388.100,383.700,1,0,NaN
Costamorpha,212.000,201.600,2,0,NaN
Costataenia,265.000,259.000,1,1,0.0012
Costatheca,520.000,516.000,1,0,NaN
Costatumulus,318.100,252.300,47,18,0.0180
Costellamussiopecten,33.900,28.400,4,0,NaN
Costellarina,290.100,272.500,16,5,0.0228
Costellispirifer,416.000,412.300,1,0,NaN
Costerymnaria,99.600,70.600,5,0,NaN
Costicrura,279.500,272.500,3,3,0.0936
Costiferina,298.900,252.300,105,28,0.1037
Costigervillia,183.000,155.700,28,23,0.0281
Costigymnites,247.200,242.000,1,0,NaN
Costinorella,247.200,242.000,1,0,NaN
Costipelagiella,516.000,501.000,4,0,NaN
Costirhynchia,235.000,201.600,3,0,NaN
Costirhynchopsis,247.200,221.500,51,12,0.0070
Costispinifera,298.900,259.000,20,3,0.0014
Costispirifer,412.300,388.100,4,0,NaN
Costispiriferina,247.200,215.560,7,2,0.0154
Costisteges,254.000,252.300,1,0,NaN
Costistricklandia,443.700,426.200,26,0,NaN
Costoanachis,13.650,0.012,7,0,NaN
Costulatostyliolina,409.100,388.100,7,0,NaN
Cotalagnostus,513.000,501.000,1,1,0.7500
Cothurnocystis,455.800,445.600,1,0,NaN
Cottaldia,99.600,93.500,8,5,0.0298
Cotteroceras,488.300,471.800,4,2,0.4472
Cottreauaster,167.700,164.700,1,1,0.2500
Cotylacrina,455.800,445.600,1,1,0.5416
Coulonia,136.400,70.600,4,1,0.0690
Couthouyia,15.970,0.012,2,0,NaN
Covracythere,252.300,251.300,1,0,NaN
Cowboyiceras,251.300,247.200,1,0,NaN
Cowiella,520.000,516.000,8,8,0.1273
Coxiconchia,466.000,463.500,3,0,NaN
Cradeocrinus,360.700,353.800,2,2,0.0408
Craginia,125.450,112.030,2,0,NaN
Cranaena,391.900,306.950,53,9,0.0148
Crania,452.000,0.007145,58,6,0.0081
Craniella,388.100,383.700,2,0,NaN
Craniops,457.500,342.800,55,34,0.0638
Craspedalosia,279.500,254.000,10,0,NaN
Craspedelia,460.900,443.700,11,9,0.0661
Craspedobolbina,428.200,426.200,5,0,NaN
Craspedona,265.000,259.000,1,0,NaN
Craspedophyllia,242.000,215.560,16,0,NaN
Craspedosmilia,232.000,221.500,1,1,0.0253
Craspedostoma,428.200,421.300,5,0,NaN
Crassadoma,13.650,0.012,30,4,0.0525
Crassatella,99.600,0.012,92,29,0.0207
Crassatellites,105.300,2.588,7,0,NaN
Crassatrypa,422.900,418.700,3,0,NaN
Crassialveolites,409.100,382.400,80,2,0.0423
Crassicellepora,65.500,61.700,1,1,0.0185
Crassicoscinus,516.000,513.000,1,0,NaN
Crassicyclus,388.100,382.400,1,0,NaN
Crassifimbra,513.000,501.000,2,1,0.5714
Crassilasma,445.600,428.200,17,0,NaN
Crassilina,412.300,409.100,1,0,NaN
Crassimarginatella,13.650,0.007145,3,0,NaN
Crassinella,23.030,0.121,8,1,0.1182
Crassiproetus,409.100,383.700,5,0,NaN
Crassipunctatrypa,409.100,391.900,1,0,NaN
Crassispira,33.900,0.000,44,32,0.0558
Crassispirifer,290.100,265.000,5,5,0.4221
Crassistella,221.500,201.600,32,7,0.0936
