"phylum","class","order","family","otu"
"Mollusca","Bivalvia","Veneroidei","","Chattonia"
"Mollusca","Bivalvia","Veneroidei","Corbiculidae","Corbicula (Loxoptychodon)"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Arcopagia (Bertinella)"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Tellina (Cyclotellina)"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Angulus (Lamyella)"
"Mollusca","Gastropoda","","Pleurotomariidae","Pleurotomaria (Pleurotomaria)"
"Mollusca","Bivalvia","Pholadida","Corbulidae","Corbula (Tenuicorbula)"
"Mollusca","Gastropoda","","Rissoidae","Rissoina (Rissoina)"
"Mollusca","Gastropoda","Sorbeoconcha","Turritellidae","Vermicularia (Anguillospira)"
"Mollusca","Gastropoda","Sorbeoconcha","Turritellidae","Vermicularia (Vermicularia)"
"Mollusca","Gastropoda","","Rostellariidae","Amplogladius"
"Mollusca","Gastropoda","","Seraphsidae","Paraseraphs"
"Mollusca","Gastropoda","","Pediculariidae","Eucypraedia"
"Mollusca","Gastropoda","","Cassidae","Cassis (Morionella)"
"Mollusca","Gastropoda","Neogastropoda","Muricidae","Crassimurex"
"Mollusca","Gastropoda","Neogastropoda","Muricidae","Pterymarchia"
"Mollusca","Gastropoda","Neogastropoda","Muricidae","Siphonochelus (Trubatsa)"
"Mollusca","Gastropoda","Neogastropoda","Buccinidae","Editharus"
"Mollusca","Gastropoda","Neogastropoda","Volutidae","Athleta (Athleta)"
"Porifera","Regulares","Ajacicyathida","","Dokidocyathella"
"Porifera","Regulares","Ajacicyathida","","Cordobicyathus"
"Porifera","Irregulares","Archaeocyathida","","Eremitacyathus"
"Echinodermata","Holothuroidea","","Stichopitidae","Rhabdotites"
"Mollusca","Bivalvia","Arcida","Arcidae","Tegillaria"
"Mollusca","Bivalvia","Carditida","Astartidae","Bathiamena"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Phylloda"
"Mollusca","Gastropoda","","Cypraeidae","Cypraeovula"
"Mollusca","Gastropoda","","Ovulidae","Calpurnea"
"Mollusca","Gastropoda","Neogastropoda","Marginellidae","Stazzania"
"Mollusca","Gastropoda","Cephalaspidea","Cylichnidae","Acrostemma"
"Mollusca","Gastropoda","","Eratoidae","Eratopsis"
"Echinodermata","Holothuroidea","Apodida","Theeliidae","Swabiaina"
"Arthropoda","Ostracoda","Podocopida","","Parakrithe"
"Mollusca","Bivalvia","Pectinida","Pectinidae","Oopecten"
"Mollusca","Bivalvia","Carditida","Astartidae","Digitariopsis"
"Mollusca","Bivalvia","Carditida","Astartidae","Grotriana"
"Mollusca","Bivalvia","Solenida","Solenidae","Plectosolen"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Telliangulus"
"Mollusca","Bivalvia","Pholadida","Corbulidae","Tunicosulcata"
"Mollusca","Gastropoda","Neogastropoda","Turridae","Lophistoma"
"Cnidaria","Anthozoa","Scleractinia","Procyclolitidae","Conophyllia"
"Cnidaria","Anthozoa","Scleractinia","Thamnasteriidae","Substuoresia"
"Cnidaria","Anthozoa","Scleractinia","Margarophylliidae","Submargarosmilia"
"Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Dasmia"
"Bryozoa","Stenolaemata","Cyclostomata","Oncousoeciidae","Microeciella"
"Bryozoa","Stenolaemata","Cyclostomata","Multisparsidae","Patulopora"
"Bryozoa","Gymnolaemata","Ctenostomata","","Simplicidium"
"Cnidaria","Anthozoa","Favositida","Coenitidae","Placocoenites"
"Mollusca","Bivalvia","Cardiida","Gastrochaenidae","Gastrochaena (Spengleria)"
"Echinodermata","Asteroidea","Spinulosida","Valvasteridae","Diclidaster"
"Hyolitha","","Hyolithida","","Insolitotheca"
"Hyolitha","","Orthothecida","","Petasotheca"
"Cnidaria","Anthozoa","Stauriida","Uraliniidae","Bifossularia"
"Cnidaria","Anthozoa","Stauriida","Uraliniidae","Uralinia"
"Cnidaria","Anthozoa","Stauriida","Lithostrotionidae","Stelechophyllum"
"Mollusca","Cephalopoda","Ammonitida","Eoderoceratidae","Appenninoceras"
"Porifera","Demospongea","Chaetetida","Chaetetidae","Chaetetella (Chaetetiporella)"
"Cnidaria","Anthozoa","Stauriida","Lithostrotionidae","Nemistium"
"Cnidaria","Anthozoa","Stauriida","Petalaxidae","Paralithostrotion"
"Porifera","Demospongea","Chaetetida","Chaetetidae","Chaetetipora"
"Cnidaria","Anthozoa","Stauriida","Aulophyllidae","Nervophyllum"
"Cnidaria","Anthozoa","Sarcinulida","Syringophyllidae","Parasarcinula"
"Cnidaria","Anthozoa","Lichenariida","Lyoporidae","Vacuopora"
"Cnidaria","Anthozoa","Heliolitida","Cyrtophyllidae","Karagemia"
"Cnidaria","Anthozoa","Lichenariida","Lyoporidae","Baikitolites"
