"phylum","class","order","family","otu"
"Bryozoa","Stenolaemata","Cyclostomata","Eleidae","Melicertites"
"Bryozoa","Stenolaemata","Cyclostomata","Cerioporidae","Ceriopora"
"Bryozoa","Stenolaemata","Cyclostomata","Cerioporidae","Heteropora"
"Bryozoa","Stenolaemata","Cyclostomata","Diaperoeciidae","Diaperoecia"
"Bryozoa","Stenolaemata","Cyclostomata","Lichenoporidae","Multigalea"
"Bryozoa","Stenolaemata","Cyclostomata","","Seminodicrescis"
"Bryozoa","Stenolaemata","Cyclostomata","Cerioporidae","Tholopora"
"Bryozoa","Stenolaemata","Cyclostomata","","Tretocycloecia"
"Mollusca","Bivalvia","Ostreida","Gryphaeidae","Laevigyra"
"Mollusca","Cephalopoda","Nautilida","Nautilidae","Anglonautilus"
"Mollusca","Gastropoda","","Pleurotomariidae","Bathrotomaria"
"Mollusca","Bivalvia","Pholadida","Pholadidae","Goniochasma"
"Mollusca","Bivalvia","Pectinida","Pectinidae","Chlamys (Mimachlamys)"
"Mollusca","Cephalopoda","Ammonitida","Deshayesitidae","Prodeshayesites"
"Mollusca","Cephalopoda","Ammonitida","Ancyloceratidae","Australiceras"
"Cnidaria","Anthozoa","Scleractinia","Actinastreidae","Stelidioseris"
"Cnidaria","Anthozoa","Scleractinia","Actinastreidae","Columactinastraea"
"Cnidaria","Anthozoa","Scleractinia","Columastreidae","Columastrea"
"Cnidaria","Anthozoa","Scleractinia","Faviidae","Eugyra"
"Cnidaria","Anthozoa","Scleractinia","Faviidae","Myriophyllia"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Isastrea"
"Cnidaria","Anthozoa","Scleractinia","Siderastreidae","Siderofungia"
"Cnidaria","Anthozoa","Scleractinia","Haplaraeidae","Meandrophyllia"
"Cnidaria","Anthozoa","Scleractinia","Faviidae","Phacellocoenia"
"Mollusca","Bivalvia","Veneroidei","Arcticidae","Epicyprina"
"Mollusca","Bivalvia","Carditida","Carditidae","Cardita"
"Mollusca","Bivalvia","Hippuritida","Caprinuloideidae","Amphitriscoelus"
"Mollusca","Bivalvia","Lucinida","Lucinidae","Sphaera"
"Mollusca","Gastropoda","","Trochidae","Calliostoma"
"Mollusca","Gastropoda","","Nododelphinulidae","Metriomphalus"
"Mollusca","Gastropoda","","Eulimidae","Eulima"
"Mollusca","Gastropoda","","Architectonicidae","Architectonica"
"Mollusca","Gastropoda","","Naticidae","Natica"
"Mollusca","Gastropoda","","","Prisconatica"
"Mollusca","Gastropoda","","Naticidae","Lunatia"
"Mollusca","Gastropoda","","Tylostomatidae","Tylostoma"
"Mollusca","Gastropoda","","Nerineidae","Nerinea"
"Mollusca","Gastropoda","Sorbeoconcha","Cerithiidae","Cerithium"
"Mollusca","Gastropoda","Sorbeoconcha","Campanilidae","Gymnocerithium"
"Mollusca","Cephalopoda","Ammonitida","Gaudryceratidae","Eogaudryceras (Eogaudryceras)"
"Brachiopoda","Rhynchonellata","Terebratulida","Capillithyrididae","Capillithyris"
"Brachiopoda","Rhynchonellata","Terebratulida","Sellithyrididae","Moutonithyris"
"Brachiopoda","Rhynchonellata","Terebratulida","Terebratulidae","Terebratula"
"Brachiopoda","Rhynchonellata","Terebratulida","Sellithyrididae","Rectithyris"
"Brachiopoda","Rhynchonellata","Terebratulida","Cancellothyrididae","Murravia"
"Brachiopoda","Rhynchonellata","Terebratulida","Zeilleriidae","Zeilleria"
"Brachiopoda","Rhynchonellata","Terebratulida","","Magas"
"Brachiopoda","Rhynchonellata","Terebratulida","Kingenidae","Kingena"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae","Grasirhynchia"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae","Monticlarella"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Septifer"
"Mollusca","Bivalvia","Pectinida","Limidae","Acesta"
"Mollusca","Gastropoda","","Epitoniidae","Confusiscala"
"Mollusca","Gastropoda","","Eucycloscalidae","Eucycloscala"
"Mollusca","Gastropoda","Neogastropoda","Muricidae","Trophon (Sipho)"
"Echinodermata","Echinoidea","Echinoneoida","Echinoneidae","Pygoyrina"
"Echinodermata","Echinoidea","Salenioida","Saleniidae","Salenia"
"Echinodermata","Echinoidea","","Disasteridae","Disaster (Nucleolites)"
"Echinodermata","Echinoidea","","Nucleolitidae","Catopygus"
"Echinodermata","Crinoidea","Isocrinida","Isocrinidae","Isocrinus"
"Echinodermata","Crinoidea","Cyrtocrinida","Sclerocrinidae","Torynocrinus"
"Arthropoda","","Decapoda","Goniodromitidae","Goniodromites"
"Arthropoda","","Decapoda","Dynomenidae","Palaeodromites"
"Arthropoda","","Decapoda","Diaulacidae","Diaulax"
"Arthropoda","","Decapoda","Erymidae","Enoploclytia"
"Arthropoda","Maxillopoda","Scalpelliformes","Calanticidae","Cretiscalpellum"
"Arthropoda","Maxillopoda","Sessilia","Brachylepadidae","Pycnolepas"
"Mollusca","Bivalvia","Hippuritida","Caprinuloideidae","Caprinuloidea"
"Mollusca","Gastropoda","","Nerineidae","Cossmannea"
"Mollusca","Gastropoda","Sorbeoconcha","Diozoptyxidae","Diozoptyxis"
"Mollusca","Gastropoda","Architectibranchia","Acteonellidae","Acteonella"
"Mollusca","Bivalvia","Ostreida","Palaeolophidae","Actinostreon"
"Mollusca","Gastropoda","","Ataphridae","Cirsochilus"
"Mollusca","Gastropoda","","Neritidae","Neritoma"
"Mollusca","Gastropoda","","Trochidae","Tectus"
"Mollusca","Gastropoda","","Chilodontidae","Agathodonta"
"Mollusca","Gastropoda","","Neridomidae","Neridomus"
"Mollusca","Gastropoda","","Neritidae","Lyosoma"
"Mollusca","Gastropoda","","Neritidae","Semineritina"
"Mollusca","Gastropoda","","Omalaxidae","Omalaxis"
"Mollusca","Gastropoda","Sorbeoconcha","Procerithiidae","Procerithium"
"Mollusca","Gastropoda","Sorbeoconcha","Procerithiidae","Cimolithium"
"Mollusca","Gastropoda","Sorbeoconcha","Batillariidae","Echinobathra"
"Mollusca","Gastropoda","","Nerineidae","Plesioptygmatis"
"Mollusca","Gastropoda","","Nerinellidae","Aptyxiella"
"Mollusca","Gastropoda","","Aporrhaidae","Perissoptera"
"Mollusca","Gastropoda","Cephalaspida","","Liocarenus"
"Echinodermata","Echinoidea","Echinoneoida","Conulidae","Pygopyrina"
"Mollusca","Bivalvia","Ostreida","Gryphaeidae","Gryphaea"
"Mollusca","Bivalvia","Pectinida","Limidae","Mantellum"
"Mollusca","Bivalvia","Carditida","Ptychomyinae","Ptychomya"
"Mollusca","Gastropoda","Sorbeoconcha","Diastomatidae","Keilostoma"
"Mollusca","Gastropoda","","Nerinellidae","Endiatrachelus"
"Cnidaria","Anthozoa","Scleractinia","Stylinidae","Cyathophora"
"Cnidaria","Anthozoa","Scleractinia","Dermosmiliidae","Dermosmilia"
"Echinodermata","Echinoidea","Spatangoida","","Enallaster"
"Echinodermata","Echinoidea","Holectypoida","Holectypidae","Coenholectypus"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Montlivaltia"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Placosmilia"
"Bryozoa","Stenolaemata","Cyclostomata","","Reptomulticava"
"Mollusca","Gastropoda","","Purpurinidae","Cloughtonia"
"Mollusca","Gastropoda","Sorbeoconcha","Turritellidae","Haustator"
"Mollusca","Gastropoda","Sorbeoconcha","Cassiopidae","Cassiope"
"Mollusca","Gastropoda","Sorbeoconcha","Cassiopidae","Gymnetome"
"Mollusca","Gastropoda","","Triforidae","Cerithiella"
"Mollusca","Gastropoda","","Epitoniidae","Crassiscala"
"Mollusca","Gastropoda","Cephalaspida","","Pseudonerinea"
"Mollusca","Gastropoda","","Naticidae","Amauropsis"
"Mollusca","Gastropoda","Neogastropoda","Fasciolariidae","Euthriofusus"
"Arthropoda","Ostracoda","Podocopida","Cytheruridae","Cytheropteron"
"Arthropoda","Ostracoda","Podocopida","Bairdiidae","Bairdia"
"Arthropoda","Ostracoda","Platycopida","Cytherellidae","Cytherella"
"Arthropoda","Ostracoda","Podocopida","Paracyprididae","Paracypris"
"Bryozoa","Stenolaemata","Cystoporida","","Constellaria"
"Bryozoa","Stenolaemata","Trepostomata","Halloporidae","Parvohallopora"
"Mollusca","Bivalvia","Nuculanida","Yoldiidae","Yoldia"
"Mollusca","Bivalvia","Arcida","Arcidae","Breviarca"
"Mollusca","Bivalvia","Carditida","Crassatellidae","Crassinella"
"Mollusca","Bivalvia","Cardiida","Cardiidae","Trachycardium"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Tellina"
"Mollusca","Bivalvia","Veneroidei","Veneridae","Flaventia"
"Arthropoda","Ostracoda","Podocopida","Cytherideidae","Cytheridea"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Botula"
"Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"Bryozoa","Gymnolaemata","Cheilostomata","Electrinidae","Membranipora"
"Mollusca","Cephalopoda","Ammonitida","Brancoceratidae","Oxytropidoceras (Adkinsites)"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Brachidontes"
"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus"
"Mollusca","Bivalvia","Carditida","Astartidae","Crassatellina"
"Mollusca","Bivalvia","Cardiida","Tellinidae","Arcopagella"
"Mollusca","Bivalvia","Ostreida","Ostreidae","Peilinia"
"Mollusca","Bivalvia","Ostreida","Ostreidae","Lopha"
"Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla"
"Mollusca","Gastropoda","Allogastropoda","Mathildidae","Gegania"
"Mollusca","Bivalvia","Pholadomyida","Pholadomyidae","Homomya"
"Mollusca","Gastropoda","","Neritidae","Otostoma"
"Mollusca","Gastropoda","Architectibranchia","Acteonidae","Pirsila"
"Mollusca","Gastropoda","Allogastropoda","Mathildidae","Mathilda"
"Mollusca","Cephalopoda","Ammonitida","Engonoceratidae","Engonoceras"
"Porifera","Hexactinellida","Reticulosa","","Physospongia"
"Cnidaria","Anthozoa","Stauriida","Amplexidae","Amplexus"
"Bryozoa","Stenolaemata","Cystoporida","Cystodictyonidae","Cystodictya"
"Bryozoa","Stenolaemata","Fenestrida","Fenestellidae","Archimedes"
"Bryozoa","Stenolaemata","Fenestrida","Septoporidae","Thamniscus"
"Echinodermata","Crinoidea","Cyathocrinida","Cyathocrinitidae","Cyathocrinites"
"Echinodermata","Crinoidea","","","Saccosompsis"
"Echinodermata","Crinoidea","","Botryocrinidae","Barycrinus"
"Echinodermata","Crinoidea","","","Parisocrinus"
"Echinodermata","Crinoidea","Dendrocrinida","Scytalocrinidae","Hypselocrinus"
"Echinodermata","Crinoidea","","Pachylocrinidae","Pachylocrinus"
"Echinodermata","Crinoidea","","","Lebetocrinus"
"Echinodermata","Crinoidea","","","Holcocrinus"
"Echinodermata","Crinoidea","","","Hylodecrinus"
"Echinodermata","Crinoidea","","","Eratocrinus"
"Echinodermata","Crinoidea","","","Sarocrinus"
"Echinodermata","Crinoidea","Taxocrinida","","Onychocrinus"
"Echinodermata","Crinoidea","Diplobathrida","Rhodocrinitidae","Cribanocrinus"
"Echinodermata","Crinoidea","Monobathrida","","Eretmocrinus"
"Echinodermata","Crinoidea","Monobathrida","","Uperocrinus"
"Echinodermata","Crinoidea","Monobathrida","Dichocrinidae","Dichocrinus"
"Echinodermata","Crinoidea","Monobathrida","Platycrinitidae","Camptocrinus"
"Echinodermata","Crinoidea","Monobathrida","Platycrinitidae","Platycrinites"
"Mollusca","Cephalopoda","Ammonitida","Crioceratitidae","Crioceratites"
"Mollusca","Cephalopoda","Ammonitida","Haploceratidae","Neolissoceras"
"Mollusca","Cephalopoda","","","Lamellaptychus"
"Mollusca","Cephalopoda","Ammonoidea","Bochianitidae","Euptychoceras"
"Mollusca","Cephalopoda","Ammonitida","Desmoceratidae","Plesiospitidiscus"
"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phylloceras"
"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Anahamulina"
"Mollusca","Cephalopoda","Ammonitida","Desmoceratidae","Barremites"
"Mollusca","Cephalopoda","Ammonitida","Ancyloceratidae","Acrioceras"
"Mollusca","Cephalopoda","Ammonitida","Crioceratitidae","Balearites"
"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Partschiceras"
"Mollusca","Cephalopoda","Ammonitida","Aspidoceratidae","Paraspidoceras"
"Mollusca","Cephalopoda","Ammonitida","Lytoceratidae","Lytoceras"
"Mollusca","Cephalopoda","Ammonitida","Crioceratitidae","Pseudothurmannia"
"Mollusca","Cephalopoda","Ammonitida","Haploceratidae","Haploceras"
"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Duvalia"
"Mollusca","Cephalopoda","Ammonitida","Ancyloceratidae","Hamulinites"
"Mollusca","Cephalopoda","Ammonitida","Desmoceratidae","Valdedorsella"
"Mollusca","Cephalopoda","Ammonitida","Lytoceratidae","Protetragonites"
"Mollusca","Cephalopoda","Ammonitida","Desmoceratidae","Zuercherella"
"Mollusca","Cephalopoda","Ammonitida","Brancoceratidae","Oxytropidoceras"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Pseudosubplanites"
"Mollusca","Gastropoda","Neogastropoda","Raphitomidae","Favriella"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Thurmanniceras"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Leopoldia"
"Mollusca","Cephalopoda","Ammonoidea","","Speetoniceras"
"Mollusca","Cephalopoda","Ammonitida","Ancyloceratidae","Paracrioceras"
"Mollusca","Cephalopoda","Ammonitida","Holcodiscidae","Spitidiscus"
"Mollusca","Cephalopoda","Ammonitida","Holcodiscidae","Holcodiscus"
"Mollusca","Cephalopoda","Ammonoidea","","Pulchellia"
"Mollusca","Cephalopoda","Ammonitida","Pulchelliidae","Subpulchellia"
"Mollusca","Cephalopoda","Ammonitida","Heteroceratidae","Imerites"
"Mollusca","Cephalopoda","Ammonitida","Ancyloceratidae","Colchidites"
"Mollusca","Cephalopoda","Ammonitida","Heteroceratidae","Heteroceras"
"Mollusca","Cephalopoda","Ammonitida","Deshayesitidae","Deshayesites"
"Mollusca","Cephalopoda","Ammonitida","Douvilleiceratidae","Cheloniceras"
"Mollusca","Cephalopoda","Ammonitida","Douvilleiceratidae","Cheloniceras (Epicheloniceras)"
"Mollusca","Cephalopoda","Ammonitida","Ancyloceratidae","Ancyloceras (Kutatissites)"
"Mollusca","Cephalopoda","Ammonitida","Parahoplitidae","Colombiceras"
"Mollusca","Cephalopoda","Ammonoidea","","Megatyloceras"
"Mollusca","Cephalopoda","Ammonitida","Ptychoceratidae","Ptychoceras"
"Mollusca","Cephalopoda","Ammonoidea","Macroscaphitidae","Macroscaphites (Costidiscus)"
"Mollusca","Cephalopoda","Ammonitida","Desmoceratidae","Pseudohaploceras"
"Mollusca","Cephalopoda","Ammonitida","Tetragonitidae","Tetragonites"
"Mollusca","Cephalopoda","Ammonitida","Ancyloceratidae","Tropaeum"
"Mollusca","Cephalopoda","Ammonitida","Parahoplitidae","Acanthohoplites"
"Mollusca","Cephalopoda","Ammonitida","Parahoplitidae","Diadochoceras"
"Mollusca","Cephalopoda","Ammonitida","Acanthoceratidae","Hypacanthohoplites"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Busnardoites"
"Mollusca","Cephalopoda","Ammonitida","Olcostephanidae","Olcostephanus"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Kilianella"
"Mollusca","Cephalopoda","Ammonoidea","Bochianitidae","Bochianites"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Neocomites (Eristavites)"
"Mollusca","Cephalopoda","Ammonitida","Himantoceratidae","Himantoceras"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Acanthodiscus"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Eleniceras"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Sarasinella"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Neocomites (Teschenites)"
"Mollusca","Cephalopoda","Ammonitida","Holcodiscidae","Jeanthieuloyites"
"Mollusca","Cephalopoda","Ammonitida","Desmoceratidae","Abrytusites"
"Mollusca","Cephalopoda","Belemnitida","Duvaliidae","Pseudobelus"
"Mollusca","Cephalopoda","Ammonitida","Acanthoceratidae","Tarrantoceras"
"Mollusca","Cephalopoda","Ammonitida","Acanthoceratidae","Euomphaloceras"
"Mollusca","Cephalopoda","Ammonitida","Binneyitidae","Borissiakoceras"
"Mollusca","Cephalopoda","","Belemnopseidae","Hibolites"
"Mollusca","Cephalopoda","Belemnitida","","Mesohibolites"
"Mollusca","Cephalopoda","Ammonitida","Acanthoceratidae","Acanthoceras"
"Mollusca","Cephalopoda","Ammonitida","Neocomitidae","Distoloceras"
"Mollusca","Cephalopoda","Ammonitida","Olcostephanidae","Mexicanoceras"
"Mollusca","Cephalopoda","Ammonitida","Olcostephanidae","Maderia"
"Mollusca","Cephalopoda","Nautilida","Cenoceratidae","Heminautilus"
"Mollusca","Gastropoda","Architectibranchia","Ringiculidae","Avellana"
"Mollusca","Gastropoda","","Pickworthiidae","Bleytonella"
"Mollusca","Gastropoda","","Vermetidae","Vermetus"
"Mollusca","Gastropoda","","Turbinidae","Hanaispira"
"Mollusca","Gastropoda","","Turbinidae","Turbo"
"Mollusca","Gastropoda","","Trochidae","Trochus"
"Mollusca","Gastropoda","","Aporrhaidae","Harpagodes"
"Mollusca","Gastropoda","","Aporrhaidae","Dicroloma"
"Mollusca","Gastropoda","","Strombidae","Rostellaria (Fusus)"
"Mollusca","Gastropoda","Neogastropoda","Muricidae","Murex"
"Mollusca","Bivalvia","Cardiida","Gastrochaenidae","Gastrochaena"
"Mollusca","Bivalvia","Pholadida","Pholadidae","Pholas"
"Mollusca","Bivalvia","Hiatellida","Hiatellidae","Panopea (Myopsis)"
"Mollusca","Bivalvia","Veneroidei","Anatinellidae","Anatina"
"Mollusca","Bivalvia","Cardiida","Psammobiidae","Gari (Psammobia)"
"Mollusca","Bivalvia","Veneroidei","Veneridae","Venus"
"Mollusca","Bivalvia","Veneroidei","Glossidae","Glossus"
"Mollusca","Bivalvia","Cardiida","Cardiidae","Cardium"
"Mollusca","Bivalvia","Lucinida","Lucinidae","Fimbria"
"Mollusca","Bivalvia","Arcida","Arcidae","Arca"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Lithophaga"
"Mollusca","Bivalvia","Pectinida","Spondylidae","Spondylus"
"Mollusca","Bivalvia","Ostreida","Gryphaeidae","Amphidonte (Ceratostreon)"
"Cnidaria","Anthozoa","Auloporida","Pyrgiidae","Cladochonus"
"Bryozoa","Stenolaemata","Cystoporida","Fistuliporidae","Cyclotrypa"
"Bryozoa","Stenolaemata","Cystoporida","Hexagonellidae","Meekopora"
"Bryozoa","Stenolaemata","Fenestrata","","Hemitrypa"
"Bryozoa","Stenolaemata","Rhabdomesida","Rhomboporidae","Saffordotaxis"
"Bryozoa","Stenolaemata","Cryptostomata","Hyphasmoporidae","Streblotrypa"
"Bryozoa","Stenolaemata","Cryptostomata","","Worthenopora"
"Bryozoa","Stenolaemata","Cryptostomata","","Taeniodictya"
"Brachiopoda","Strophomenata","Productida","Strophalosiidae","Heteralosia"
"Brachiopoda","Rhynchonellata","Spiriferida","Elythidae","Torynifer"
"Echinodermata","Holothuroidea","Apodida","Myriotrochidae","Rota"
"Mollusca","Tentaculita","Cornulitida","Cornulitidae","Cornulitella"
"Bryozoa","Gymnolaemata","Ctenostomata","Ropalonariidae","Ropalonaria"
"Bryozoa","Stenolaemata","Cystoporata","","Phractopora"
"Bryozoa","Stenolaemata","Rhabdomesida","Rhabdomesidae","Nicklesopora"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchoporidae","Rhynchopora"
"Echinodermata","Crinoidea","Calceocrinida","Calceocrinidae","Halysiocrinus"
"Bryozoa","Gymnolaemata","Ctenostomata","Ascodictyidae","Ascodictyon"
"Bryozoa","Stenolaemata","Rhabdomesida","Rhabdomesidae","Ascopora"
"Bryozoa","Stenolaemata","Rhabdomesida","Nikiforovellidae","Nikiforovella"
"Brachiopoda","Rhynchonellata","Athyridida","Retziidae","Eumetria"
"Echinodermata","Crinoidea","","Synbathocrinidae","Synbathocrinus"
"Echinodermata","Holothuroidea","Dendrochirotida","Calclamnidae","Eocaudina"
"Cnidaria","Anthozoa","Stauriida","Antiphyllidae","Rotiphyllum"
"Mollusca","Gastropoda","Euomphalina","Platyceratidae","Orthonychia"
"Arthropoda","Ostracoda","Podocopida","Pachydomellidae","Microcheilinella"
"Echinodermata","Crinoidea","","","Catillocrinus"
"Echinodermata","Crinoidea","Taxocrinida","","Parichthyocrinus"
"Echinodermata","Crinoidea","Sagenocrinida","","Nipterocrinus"
"Echinodermata","Holothuroidea","Apodida","Achistridae","Achistrum"
"Brachiopoda","Lingulata","Lingulida","Obolidae","Trigonoglossa"
"Mollusca","Gastropoda","Euomphalina","Platyceratidae","Orthinychia"
"Echinodermata","Crinoidea","","","Springericrinus"
"Echinodermata","Crinoidea","Monobathrida","Actinocrinitidae","Actinocrinites"
"","","Hyolithelminthida","","Phosphannulus"
"Annelida","Machaeridia","","Turrilepadidae","Turrilepas"
"Arthropoda","","Decapoda","Nephropidae","Homarus"
"Mollusca","Gastropoda","Cephalaspidea","Bullidae","Bulla"
"Mollusca","Gastropoda","","Acteoninidae","Acteonina"
"Mollusca","Bivalvia","Lucinida","Mactromyidae","Thetis"
"Annelida","Polychaeta","Serpulimorpha","","Janita"
"Brachiopoda","Rhynchonellata","Terebratulida","Cnismatocentridae","Nucleatina"
"Brachiopoda","Rhynchonellata","Terebratulida","Laqueidae","Psilothyris"
"Brachiopoda","Rhynchonellata","Terebratulida","Terebratellidae","Terebratella"
"Echinodermata","Echinoidea","","Pseudodiadematidae","Pseudodiadema"
"Echinodermata","Echinoidea","Holectypoida","Holectypidae","Holectypus"
"Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Parasmilia"
"Porifera","Demospongea","Spirosclerophorida","Haplistiidae","Haplistion"
"Echinodermata","Crinoidea","","","Adinocrinus"
"Echinodermata","Crinoidea","Monobathrida","","Amphoracrinus"
"Echinodermata","","Spiraculata","","Granatocrinus"
"Cnidaria","Anthozoa","Scleractinia","Latomeandridae","Thamnoseris"
"Cnidaria","Anthozoa","Scleractinia","Latomeandridae","Fungiastraea"
"Cnidaria","Anthozoa","Scleractinia","Microsolenidae","Microsolena"
"Cnidaria","Anthozoa","Scleractinia","Latomeandridae","Microphyllia"
"Brachiopoda","Rhynchonellata","Terebratulida","Sellithyrididae","Loriolithyris"
"Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Goniopygus"
"Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Codiopsis"
"Cnidaria","Anthozoa","Scleractinia","Actinastreidae","Actinastrea"
"Cnidaria","Anthozoa","Scleractinia","Stylinidae","Heliocoenia"
"Cnidaria","Anthozoa","Scleractinia","Stylinidae","Stylosmilia"
"Cnidaria","Anthozoa","Scleractinia","Stylinidae","Stylina"
"Cnidaria","Anthozoa","Scleractinia","Placophylliidae","Placophyllia"
"Cnidaria","Anthozoa","Scleractinia","Latomeandridae","Dimorphastrea"
"Cnidaria","Anthozoa","Scleractinia","Thamnasteriidae","Stereocaenia"
"Cnidaria","Anthozoa","Scleractinia","Dermosmiliidae","Calamophylliopsis"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Latiphyllia"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Peplosmilia"
"Mollusca","Cephalopoda","Phylloceratida","Phylloceratidae","Phyllopachyceras"
"Mollusca","Cephalopoda","Ammonoidea","","Paraspiticeras"
"Mollusca","Cephalopoda","Ammonoidea","Hamulinidae","Hamulina"
"Mollusca","Cephalopoda","Ammonitida","Pulchelliidae","Psilotissotia (Buergliceras)"
"Mollusca","Cephalopoda","Ammonitida","Crioceratitidae","Crioceratites (Emericiceras)"
"Mollusca","Cephalopoda","Ammonitida","Silesitidae","Silesites"
"Echinodermata","Crinoidea","Monobathrida","","Alloprosallocrinus"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Craspedites"
"Mollusca","Cephalopoda","Ammonoidea","","Chetaites"
"Porifera","Demospongea","","","Belemnospongia"
"Brachiopoda","Rhynchonellata","Spiriferida","Imbrexiidae","Imbrexia"
"Mollusca","Cephalopoda","Goniatitida","Dimeroceratidae","Sunites"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Hectoroceras"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae","Fusirhynchia"
"Brachiopoda","Rhynchonellata","Spiriferida","Brachythyrididae","Brachythyris"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Subcraspedites"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Surites"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Subcraspedites (Paracraspedites)"
"Mollusca","Cephalopoda","","Belemnitidae","Cylindroteuthis"
"Brachiopoda","Rhynchonellata","Terebratulida","Triadithyrididae","Lenothyris"
"Brachiopoda","Rhynchonellata","Terebratulida","Loboidothyrididae","Pinaxiothyris"
"Mollusca","Cephalopoda","Ammonoidea","","Praetollia"
"Mollusca","Cephalopoda","Belemnitida","","Lagonibelus"
"Mollusca","Bivalvia","Lucinida","Mactromyidae","Mactromya"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Tollia"
"Mollusca","Cephalopoda","","Belemnitidae","Acroteuthis"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Nikitinoceras"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Simbirskites"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Craspedites (Trautscholdiceras)"
"Mollusca","Cephalopoda","Ammonitida","Polyptychitidae","Garniericeras"
"Mollusca","Cephalopoda","Ammonitida","Perisphinctidae","Perisphinctes"
"Mollusca","Bivalvia","Arcida","Parallelodontidae","Grammatodon (Indogrammatodon)"
"Mollusca","Bivalvia","Pectinida","Pectinidae","Chlamys"
"Mollusca","Bivalvia","Pectinida","Limidae","Ctenostreon"
"Mollusca","Bivalvia","Ostreida","Gryphaeidae","Deltoideum (Deltoideum)"
"Mollusca","Bivalvia","Ostreida","Gryphaeidae","Nanogyra"
"Mollusca","Bivalvia","Ostreida","Ostreidae","Arctostrea"
"Mollusca","Bivalvia","Veneroidei","Arcticidae","Pseudotrapezium"
"Mollusca","Gastropoda","Neogastropoda","Pseudomelaniidae","Pseudomelania (Rhabdoconcha)"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae","Somalirhynchia"
"Brachiopoda","Rhynchonellata","Terebratulida","Loboidothyrididae","Avonothyris"
"Brachiopoda","Rhynchonellata","Terebratulida","","Magharithyris"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae","Burmirhynchia"
"Brachiopoda","Rhynchonellata","Terebratulida","Loboidothyrididae","Ptyctothyris"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Arcomytilus"
"Mollusca","Cephalopoda","Ammonitida","Aspidoceratidae","Peltoceratoides"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae","Daghanirhynchia"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Septirhynchiidae","Septirhynchia"
"Brachiopoda","Rhynchonellata","Terebratulida","Loboidothyrididae","Bihenithyris"
"Mollusca","Bivalvia","Nuculida","Nuculidae","Palaeonucula"
"Mollusca","Gastropoda","","Proconulidae","Proconulus"
"Brachiopoda","Rhynchonellata","Terebratulida","Loboidothyrididae","Cererithyris"
